Wall time,Step,Value
1564987813.7096572,0,0.847003161907196
1564987817.4152563,1,0.847003161907196
1564987821.118205,2,0.85173499584198
1564987824.8547637,3,0.8548895716667175
1564987828.6016686,4,0.8659306168556213
1564987832.3083186,5,0.8675078749656677
1564987836.0088017,6,0.8627760410308838
1564987839.6858473,7,0.8659306168556213
1564987843.4142232,8,0.875394344329834
1564987847.115194,9,0.8627760410308838
1564987850.8358674,10,0.8533123135566711
1564987854.5303142,11,0.8706624507904053
1564987858.2416253,12,0.8580441474914551
1564987861.931702,13,0.8706624507904053
1564987865.6745987,14,0.886435329914093
1564987869.3973932,15,0.8817034959793091
1564987873.0856476,16,0.8091482520103455
1564987876.8238904,17,0.8722397685050964
1564987880.5932243,18,0.875394344329834
1564987884.3298416,19,0.8832807540893555
