Wall time,Step,Value
1564988126.9827392,0,0.8848580718040466
1564988134.4578142,1,0.8832807540893555
1564988141.9358325,2,0.9195583462715149
1564988149.4112315,3,0.9290220737457275
1564988156.9105976,4,0.9305993914604187
1564988164.3888943,5,0.9337539672851562
1564988171.8629935,6,0.9321766495704651
1564988179.4909983,7,0.9242902398109436
1564988186.9932723,8,0.9337539672851562
1564988194.7375283,9,0.9321766495704651
1564988203.1154177,10,0.9337539672851562
1564988210.8583553,11,0.9305993914604187
1564988218.3613555,12,0.9305993914604187
1564988225.8167968,13,0.9353312253952026
1564988233.271745,14,0.9337539672851562
1564988240.7148035,15,0.9305993914604187
1564988248.2021606,16,0.92586749792099
1564988255.652082,17,0.9369085431098938
1564988263.14599,18,0.9274448156356812
1564988270.5977292,19,0.9369085431098938
