iPhone 8 Plus	64GB	Argent 	4	2019-03-17	法国	0
iPhone XR	128GB	Black	4	2018-12-30	德国	0
iPhone X	64GB	Gray	1	2019-02-18	it	0
iPhone X	64GB	Space Grey	1	2018-07-06	英国	0
iPhone 7 Plus	128GB	Black	2	2017-05-09	德国	0
iPhone XR	64GB	Red	1	2018-12-15	美国	0
iPhone 7 Plus	128GB	Black	1	2019-03-08	法国	0
iPhone 6S	16GB	Space Gray	1	2019-02-09	德国	0
iPhone 7	128GB	Rose Gold	2	2018-06-26	法国	0
iPhone 8 Plus	64GB	Gold	3	2018-11-16	法国	0
iPhone XR	128GB	Black	1	2019-05-10	英国	0
iPhone 7	128GB	Black	1	2017-08-19	德国	0
iPhone XR	64GB	Red	1	2019-05-15	it	0
iPhone 8	64GB	Silver / White	2	2019-03-06	it	0
iPhone XS	64GB	Gold	1	2018-12-06	法国	0
iPhone XR	64GB	White	4	2019-03-10	法国	0
iPhone 6S	16GB	Space Gray	1	2016-07-23	德国	0
iPhone 7	32GB	Matt Black	5	2019-07-02	it	0
iPhone X	64GB	Space Gray	1	2018-10-31	德国	0
iPhone 7	256GB	Black	1	2017-10-16	英国	0
iPhone XS	64GB	Gold	1	2018-12-05	德国	0
iPhone 7	128GB	Black	4	2017-10-25	法国	0
iPhone X	64GB	Gray	1	2019-05-20	it	0
iPhone 7	32GB	Black	1	2019-06-07	德国	0
iPhone 7	32GB	Gold	1	2018-11-26	美国	0
iPhone 8	64GB	Silver	1	2018-11-13	英国	0
iPhone XR	64GB	Blue	1	2019-07-03	德国	0
iPhone 6S	16GB	Rose Gold	3	2017-11-04	德国	0
iPhone 7	32GB	Black	1	2019-04-24	美国	0
iPhone XR	64GB	Black	2	2019-05-19	法国	0
iPhone XS Max	64GB	Gold	1	2019-05-24	美国	0
iPhone X	256GB	Argent 	1	2019-01-01	德国	0
iPhone 6S	64GB	Space Gray	1	2016-09-11	德国	0
iPhone XS Max	64GB	Silver	1	2019-03-08	美国	0
iPhone XS	256GB	Gold	5	2018-11-30	it	0
iPhone 6S	64GB	Argent 	1	2018-01-05	德国	0
iPhone 8	64GB	Space Gray	2	2019-01-16	德国	0
iPhone 7	128GB	Black	3	2018-04-20	德国	0
iPhone 8	64GB	Gold	1	2018-03-22	法国	0
iPhone 7	128GB	Black	2	2018-07-11	德国	0
iPhone 6S	32GB	Gold	3	2019-02-26	法国	0
iPhone X	256GB	Space Gray	1	2018-04-08	法国	0
iPhone 7 Plus	32GB	Black	1	2019-03-13	英国	0
iPhone 6S	64GB	Rose Gold	1	2015-10-18	德国	0
iPhone 6S	32GB	Silver	1	2019-02-14	美国	0
iPhone X	64GB	Space Gray	1	2018-05-07	法国	0
iPhone XS Max	64GB	Gold	1	2019-04-06	美国	0
iPhone X	64GB	Space Gray	1	2019-01-18	德国	0
iPhone 7 Plus	32GB	Black	2	2018-07-08	德国	0
iPhone 7	32GB	Gold	4	2019-01-25	it	0
iPhone XS	256GB	Gold	5	2019-05-09	英国	0
iPhone 6S	64GB	Rose Gold	1	2018-11-08	德国	0
iPhone 7	32GB	Black	5	2017-01-01	德国	0
iPhone 7	128GB	Black	1	2017-11-07	德国	0
iPhone 8	64GB	Argent 	2	2018-07-06	德国	0
iPhone 8	64GB	Space Gray	4	2018-09-04	德国	0
iPhone XS	64GB	Space Gray	3	2019-02-23	德国	0
iPhone 7	128GB	Gold	3	2017-01-06	it	0
iPhone 7	128GB	Black	5	2019-02-25	法国	0
iPhone XS	256GB	Space Gray	1	2019-07-11	德国	0
iPhone 8	64GB	Gold	3	2018-12-11	德国	0
iPhone X	64GB	Argent 	1	2019-02-25	it	0
iPhone 6S	16GB	Gray	1	2017-06-22	it	0
iPhone 6S	32GB	Silver	1	2019-06-08	美国	0
iPhone 6S Plus	32GB	Rose Gold	1	2018-12-22	英国	0
iPhone 7	32GB	Black	5	2019-03-02	德国	0
iPhone 7 Plus	128GB	Jet Black	1	2019-03-18	英国	0
iPhone 7	32GB	Matt Black	1	2019-05-18	it	0
iPhone 6S	16GB	Space Gray	2	2016-06-17	德国	0
iPhone 7	32GB	Black	2	2017-08-17	德国	0
iPhone 6S	16GB	Gold	1	2016-02-18	德国	0
iPhone 7	32GB	Matte Black	1	2017-03-23	英国	0
iPhone X	256GB	Space Gray	1	2018-11-28	德国	0
iPhone 7	32GB	Black	1	2018-11-06	德国	0
iPhone 8 Plus	64GB	Space Gray	1	2018-11-09	法国	0
iPhone 6S	32GB	Argent	2	2015-09-26	德国	0
iPhone 7	32GB	Black	1	2018-07-31	德国	0
iPhone 8	64GB	Space Gray	1	2018-08-02	法国	0
iPhone XR	128GB	Coral	4	2019-01-11	德国	0
iPhone 6S	32GB	Silver	2	2019-02-01	英国	0
iPhone 6S	32GB	Gray	1	2019-03-27	it	0
iPhone 7	128GB	Black	1	2016-11-12	德国	0
iPhone XS	64GB	Gold	1	2019-03-06	美国	0
iPhone 6S	16GB	Gold	1	2019-05-13	德国	0
iPhone XR	128GB	(Product) Red	1	2019-07-15	英国	0
iPhone 7	32GB	Matte Black	1	2018-02-09	英国	0
iPhone 7 Plus	32GB	Black	1	2018-12-19	美国	0
iPhone 7	32GB	Black	4	2018-05-08	美国	0
iPhone 6S	32GB	Gray	1	2019-04-06	it	0
iPhone 7	32GB	Matte Black	2	2016-12-28	英国	0
iPhone X	64GB	Space Gray	2	2019-01-26	法国	0
iPhone XS Max	64GB	Gold	2	2019-06-17	英国	0
iPhone 7	32GB	Black	1	2016-10-02	德国	0
iPhone 6S Plus	128GB	Space Gray	4	2018-09-26	法国	0
iPhone XR	128GB	Red	4	2019-01-27	法国	0
iPhone XS Max	64GB	Space Grey	5	2018-12-18	英国	0
