star,count,p,label
1,78,1.25,好评
2,28,0.45,好评
3,181,2.90,好评
4,709,11.37,好评
5,5238,84.02,好评
1,697,57.41,差评
2,166,13.67,差评
3,128,10.54,差评
4,109,8.98,差评
5,114,9.39,差评
